artista,diferencia
Aitana,23
Alaska y Dinarama,0
Ana Belén,-22
Anita Ward,436
Astrud,635
Barry Ryan,210
Becky G,-16
Boney M.,-9
Buraka Som Sistema,222
Camilo Sesto,-43
Carlos Baute,-70
Chayanne,-29
Cher,5
Culture Club,30
Dani Martín,-15
Depeche Mode,2
Desireless,100
Double You,-17
Dúo Dinámico,-8
Eddy Grant,300
Elton John,-37
Enigma!,28
Enrique Guzmán ,-16
Estopa,-24
Europe,64
F. R. David,157
Gilbert Bécaud,82
Glenn Medeiros,329
Guru Josh,129
Imagination,100
Innocence,284
Julio Iglesias,-30
Kaoma,47
Karina,-34
La Oreja de Van Gogh,1
Les Surfs,436
Lionel Richie,-4
Lolita,-47
Londonbeat,69
Los Bravos,-9
Los Diablos,44
Los Payos,580
Los Planetas,36
Lou Bega,38
Luis Aguilé,107
Luis Fonsi,-53
Manolo Otero,227
Mecano,-22
Miguel Ángel Muñoz,-22
Mike Oldfield,72
Natti Natasha,-28
Nino Bravo,91
Pablo Abraira,325
Patrick Hernández,241
Pic-nic,131
Pop-Tops,152
Raphael,-68
Raúl,96
Ricardo Cocciante,100
Richard Anthony,181
Roberto Carlos,-26
Roxette,74
Sandie Shaw,415
Sandro Giacobbe,661
Silver Convention,31
The Communards,129
Tom Jones,2
Umberto Tozzi,121
Violadores del Verso,28
Víctor Manuel,-9
Whigfield,25
21 Japonesas,1887
Alejandro Sanz,-22
Amaral,30
Amistades Peligrosas,56
Ana Torroja,-44
Celtas Cortos,54
Christina y Los Subterráneos,208
Ciudad Jardín,828
Cómplices,97
David Santisteban,1500
David Summers,-36
Diego Vasallo,256
Ella Baila Sola,64
Emilio Aragón,93
Enrique Iglesias,-14
Esclarecidos,569
Gabinete Caligari,92
Greta y los Garbo,1500
Jarabedepalo,9
Jesús Vázquez,10
José Ángel Hevia,400
Ketama,-4
Kiko Veneno,109
La Guardia,440
La Oreja de Van Gogh,23
La trampa,0
Loquillo,12
Los Flechazos,1000
Los Inhumanos,198
Los Limones,670
Los Piratas,214
Los Romeos,1927
Los Ronaldos,28
Los Sencillos,482
Los Toreros Muertos,10
Los lunes que quedan,533
Mercedes Ferrer,1263
Mikel Erentxun,66
Modestia Aparte,253
Mónica Naranjo,-54
Nacho Cano,-10
No me pises que llevo chanclas,255
OBK,-2
Objetivo Birmania,682
Olé Olé,13
Presuntos Implicados,48
Revólver,56
Rosana,8
Rosario Flores,19
Santiago Auserón,133
Seguridad Social,148
Tahúres Zurdos,1381
Tam Tam Go!,128
Un Pingüino en mi Ascensor,275
Viceversa,128
Álex de la Nuez,332
Alaska y los Pegamoides,194
All Saints,451
Aretha Franklin,25
Bananarama,108
Barbara,32
Bebe,24
Beyoncé,-34
Björk,138
Blondie,23
Bonnie Raitt,145
Cecilia,199
Celia Cruz,-3
Cyndi Lauper,51
Ella Baila Sola,245
Garbage,30
Grace Jones,192
Hinds,250
Joan Báez,280
Joan_Jett_&_the_Blackhearts,-50
Kate Bush,20
La Paquera de Jerez,255
Las Grecas,121
Las Migas,802
Los Romeos,833
Mari Trini,442
María Jiménez,-69
Massiel,-20
Mónica Naranjo,-72
Nina Simone,-7
Nosoträsh,360
Olga Guillot,100
Olé Olé,-5
PJ Harvey,171
Papá Levante,588
Paquita la del Barrio,1
Pasión Vega,-25
Patti Smith,28
Pic-nic,94
Pimpinela,4
Rocío Jurado,3
Rosalía Vila,-1
Salt-N-Pepa,55
Siouxsie And The Banshees,145
Spice Girls,49
Suzi Quatro,59
Tahúres Zurdos,508
Teresa Rabal,159
Texas,376
The Bangles,159
The Cranberries,24
The_Go-Go's,41
The Pretenders,100
The Supremes,14
Tracy Chapman,106
Undershakers,633
Vainica Doble,170
Vulpes,550
Zahara,65
7 Notas 7 Colores,57
Alejandro Sanz,-31
Amparanoia,25
Andrés do Barro,1286
Andrés Suárez,-36
Ángel Stanich,2606
Antonio Orozco,-38
Bebe,48
Bob Dylan,2
C. Tangana,-11
Camilo Sesto,-46
Carlos Cano,97
Carmen Boza,268
Chenta Tsai,721
Dani Martín,-66
Emilio José,1309
Enrique Bunbury,-49
Francisco Nixon,5642
Frank T,453
Ismael Serrano,454
Iván Ferreiro,-91
Javier Krahe,-60
Javier Ruibal,300
Joaquín Sabina,-79
Josele Santiago,1075
Kiko Veneno,32
La Bien Querida,120
La Excepción,1197
Lichis,1478
LP,-78
Luis Ramiro,547
Mala Rodríguez,26
Mari Trini,-36
Maria Rodés,1976
Marwan,2720
Mikel Erentxun,-43
Mikel Laboa,-45
Muerdo,-17
Nacho Vegas,63
Orquesta de Córdoba,900
Ovidi Montllor,755
Pablo Alborán,-26
Pablo Guerrero,85
Paco Ibáñez,30
Pau Riba,414
Pedro Guerra,-47
Raimon,247
Rosana,-16
Rosendo Mercado,-98
Rozalén,-73
Ruper Ordorika,4033
Russian Red,-57
SFDK,13
Sr. Chinarro,338
Tonino Carotone,237
Tontxu,789
ToteKing,371
Andrés Calamaro,-71
Chicho Sánchez Ferlosio,222
Christina Rosenvinge,-91
El Niño de Elche,248
Fernando Alfaro,2155
Javier Álvarez,239
Joan Manuel Serrat,-64
José Luis Perales,-74
José Manuel Soto,-33
Luis Eduardo Aute,-4
Víctor Manuel,-12
Violadores del Verso,-64
Bom Bom Chip,123
Chantal Goya,1400
Enrique y Ana,489
Guido y Maurizio De Angelis,271
Joaquín Díaz González,36
José Luis Perales,112
La Pandilla,258
Los Lunnis,56
Los Payasos de la Tele,101
Luis Miguel,83432
Marisol,-23
María Isabel López,4
María Jesús Grados Ventura,-34
Mecano,-13
Melody,86
Menudo,-2
Palito Ortega,47
Parchís,136
Pedro Fernández,-32
Regaliz,275
Teresa Rabal,729
The Jackson 5,-21
Topo Gigio,-4
Torrebruno,793
091,144
Alarma!!!,983
Alaska,38
Alphaville,1840
Ariel Rot,-23
Aviador Dro,244
Bulldog,42
Danza Invisible,80
Decibelios,451
Duncan Dhu,29
El Último de la Fila,1
Esclarecidos,730
Eskorbuto,24
Gabinete Caligari,69
Germán Coppini,743
Glutamato Ye-Yé,596
Golpes Bajos,93
Hombres G,-10
Iván,495
Kiko Veneno,117
La Dama se Esconde,528
La Unión,49
Loquillo,15
Los Elegantes,200
Los Negativos,616
Los Nikis,40
Los Rebeldes,19
Los Ronaldos,95
Los Secretos,111
Los Tigres,500
Los Toreros Muertos,55
Mecano,0
Nacha Pop,14
Objetivo Birmania,317
Olé Olé,32
Orquesta Mondragón,136
Panzer,223
Pepe de Lucía,137
Radio Futura,94
Ramoncín,67
Santiago Auserón,1173
Sindicato Malone,1566
Siniestro Total,103
Tino Casal,28
ABBA,-10
Adam_&_the_Ants,338
Agoney Hernández,26
Alaska y Dinarama,64
Amanda Lear,756
Antonio Flores,86
Army of Lovers,281
Beyoncé,-29
Bibiana Fernández,22
Bronski Beat,25
Carlos Cano,183
Chavela Vargas,-11
Chenta_Tsai,136
Cher,97
Conchita Wurst,-5
Dana International,-51
Divine,196
Dusty Springfield,294
Electric Light Orchestra,-9
Ellos ,292
Elton John,-29
Falete,-17
George Michael,260
Geri Halliwell,-13
Gloria Gaynor,48
Gloria Trevi,151
Grace Jones,365
Hidrogenesse,83
Imagination ,92
Janelle Monáe,3
Jimmy Somerville,266
Joaquín Sabina,10
K. D. Lang,169
Kylie Minogue,142
La Casa Azul,24
Liza Minnelli,180
Loco Mía,72
Lorena Castell,12
Los Burros,36
Luis Mariano,237
Mari Trini,46
Marta Sánchez,-17
Massiel,-65
Mecano ,-25
Miguel Bosé,-45
Miguel Vargas Jiménez Bambino,120
Miss Caffeina,41
Mónica Naranjo,206
OBK,88
Olivia Newton-John,45
Orquesta Mondragón,53
Paco Clavel,1055
Pedro Guerra,234
Pedro Marín,2982
Pet Shop Boys,32
Queen,-37
Rafael Conde,1213
Raoul Vazquez,-27
Raphael ,-29
Ricky Martin,5
Rufus Wainwright,25
Samantha Fox,661
Sara Montiel,-41
Shirley Bassey,1018
Sin With Sebastian,225
Soft Cell,230
Sylvester James,30
T.A.T.u.,59
Tam Tam Go!,335
The Communards,41
Tino Casal,333
Village People,13
Víctor Manuel,50
